time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:24:43,-35.36326387500001,149.16523497499998,49999.125,1.125,9.375,0.0,RTL,0.003513308496621903,-0.0035415073225522065,0.45082150772213936,-0.06183096161112189,0.004804704629350454,0.00013577266508946195,0.25,-4.5,-999.625,-61.0,5.75,1.25,1500.0
16:24:45,-35.36326296666667,149.16523718333335,49998.5,2.0,2.1666666666666665,2.1666666666666665,RTL,-0.004826847386235992,0.003219610118928055,0.44998741646607715,0.04208892739067475,0.000781119199624906,0.0004925246854933599,0.0,-1.8333333333333333,-981.8333333333334,42.5,2.0,1.8333333333333333,1500.0
16:24:47,-35.3632629,149.16523845,49565.5,1.0,-4.5,67.5,RTL,-0.023119747638702393,0.0012858076952397823,0.4496286064386368,0.008463792502880096,-0.0033525872277095914,0.006754554924555123,0.0,38.0,-949.5,18.0,-1.5,8.0,1500.0
16:24:49,-35.3632626,149.16523795,47254.5,3.0,-5.0,98.5,RTL,-0.01419478701427579,-0.001148571609519422,0.45076675713062286,-1.4272392392158508,-0.0010015986044891179,-0.004243591683916748,0.3333333333333333,-65.66666666666667,-1013.3333333333334,-1425.6666666666667,0.6666666666666666,-2.6666666666666665,1500.0
16:24:51,-35.3632627,149.16523869999997,45360.6,2.8,-7.4,101.4,RTL,-0.031031377241015436,0.0021125137573108077,0.4503684937953949,-1.0031336545944214,0.0026563782943412662,-0.000871012220159173,-1.3333333333333333,-7.833333333333333,-1001.5,-883.1666666666666,3.5,0.0,1500.0
16:24:53,-35.36326246666667,149.1652383,43583.333333333336,2.0,-10.333333333333334,112.33333333333333,RTL,-0.022652405314147472,-0.002691666401612262,0.4493778844674428,-1.3731738328933716,-0.006662530669321616,0.005402021808549762,-2.3333333333333335,-43.333333333333336,-1038.6666666666667,-1371.6666666666667,-4.666666666666667,6.333333333333333,1500.0
16:24:58,-35.36326126666666,149.16523523333333,41067.0,-6.333333333333333,11.0,101.66666666666667,RTL,0.042374068250258766,-0.0027909985122581324,0.44946078459421795,1.3744714260101318,-0.0023374418960884213,0.0018385200916479032,-1.75,43.0,-1038.5,1301.25,1.0,4.25,1500.0
16:25:00,-35.36326077142858,149.16523409999996,39253.142857142855,-12.857142857142858,25.571428571428573,98.14285714285714,RTL,0.01798087970486709,-0.0017377780417778663,0.4496051413672311,0.4125715174845287,0.0026280072883569767,0.00024342202647988285,-1.4285714285714286,54.857142857142854,-981.1428571428571,422.42857142857144,3.7142857142857144,2.142857142857143,1500.0
16:25:02,-35.363260649999994,149.165233875,37406.25,-14.75,29.25,95.25,RTL,0.04318005684763193,-0.001408538912073709,0.4500994309782982,0.6163353510200977,0.0011858438956551254,0.000954041606746614,-0.25,-13.75,-990.75,609.75,2.25,2.75,1500.0
16:25:04,-35.36326041666667,149.16523336666668,35526.5,-16.833333333333332,33.0,100.5,RTL,0.048859031250079475,-0.00149463096264905,0.45010646680990857,1.0248965322971344,-0.0006250292159772167,0.0001340531356011828,-0.6666666666666666,16.333333333333332,-1009.8333333333334,1022.1666666666666,0.8333333333333334,1.8333333333333333,1500.0
