,A.BRAKE1
16:12:16.314,-1
16:12:16.515,-1
16:12:16.716,-1
16:12:16.918,-1
16:12:17.119,-1
16:12:17.323,-1
16:12:17.525,-1
16:12:17.726,-1
16:12:17.927,-1
16:12:18.128,-1
16:12:18.329,-1
16:12:18.530,-1
16:12:18.731,-1
16:12:18.932,-1
16:12:19.133,-1
16:12:19.334,-1
16:12:19.536,-1
16:12:19.736,-1
16:12:19.937,-1
16:12:20.138,-1
16:12:20.339,-1
16:12:20.571,-1
16:12:20.773,-1
16:12:20.974,-1
16:12:21.176,-1
16:12:21.378,-1
16:12:21.579,-1
16:12:21.781,-1
16:12:21.982,-1
16:12:22.182,-1
16:12:22.383,-1
16:12:22.584,-1
16:12:22.785,-1
16:12:22.986,-1
16:12:23.188,-1
16:12:23.391,-1
16:12:23.592,-1
16:12:23.793,-1
16:12:23.994,-1
16:12:24.195,-1
16:12:24.396,-1
16:12:24.597,-1
16:12:24.798,-1
16:12:24.999,-1
16:12:25.201,-1
16:12:25.404,-1
16:12:25.607,-1
16:12:25.811,-1
16:12:26.013,-1
16:12:26.217,-1
16:12:26.419,-1
16:12:26.620,-1
16:12:26.821,-1
16:12:27.022,-1
16:12:27.223,1
16:12:27.424,1
16:12:27.626,1
16:12:27.826,-1
16:12:28.027,-1
16:12:28.228,-1
16:12:28.429,-1
16:12:28.630,-1
16:12:28.830,-1
16:12:29.031,-1
16:12:29.232,-1
16:12:29.433,-1
16:12:29.635,-1
16:12:29.836,-1
16:12:30.036,-1
16:12:30.238,-1
16:12:30.439,-1
16:12:30.640,-1
16:12:30.841,-1
16:12:31.042,-1
16:12:31.244,-1
16:12:31.445,-1
16:12:31.647,-1
16:12:31.848,-1
16:12:32.050,-1
16:12:32.251,-1
16:12:32.452,-1
16:12:32.652,-1
16:12:32.853,-1
16:12:33.054,-1
16:12:33.255,-1
16:12:33.456,-1
16:12:33.657,-1
16:12:33.858,-1
16:12:34.059,-1
16:12:34.260,-1
16:12:34.461,-1
16:12:34.663,-1
16:12:34.864,-1
16:12:35.066,-1
16:12:35.269,-1
16:12:35.473,-1
16:12:35.675,-1
16:12:35.877,-1
16:12:36.077,-1
16:12:36.278,-1
16:12:36.479,-1
16:12:36.680,-1
16:12:36.881,-1
16:12:37.085,-1
16:12:37.286,-1
16:12:37.486,-1
16:12:37.687,-1
16:12:37.888,-1
16:12:38.088,-1
16:12:38.289,-1
16:12:38.490,-1
16:12:38.691,-1
16:12:38.892,-1
16:12:39.094,-1
16:12:39.296,-1
16:12:39.498,-1
16:12:39.700,-1
16:12:39.902,-1
16:12:40.103,-1
16:12:40.305,-1
16:12:40.506,-1
16:12:40.707,-1
16:12:40.908,-1
16:12:41.109,-1
16:12:41.311,-1
16:12:41.513,-1
16:12:41.713,-1
16:12:41.914,-1
16:12:42.115,-1
16:12:42.316,-1
16:12:42.517,-1
16:12:42.718,-1
16:12:42.918,-1
16:12:43.119,-1
16:12:43.320,-1
16:12:43.524,-1
16:12:43.725,-1
16:12:43.926,-1
16:12:44.127,-1
16:12:44.328,-1
16:12:44.529,-1
16:12:44.730,-1
16:12:44.931,-1
16:12:45.133,-1
16:12:45.335,-1
16:12:45.536,-1
16:12:45.740,-1
16:12:45.940,-1
16:12:46.141,-1
16:12:46.342,-1
16:12:46.543,-1
16:12:46.744,-1
16:12:46.945,-1
16:12:47.146,-1
16:12:47.347,-1
16:12:47.548,-1
16:12:47.749,-1
16:12:47.950,-1
16:12:48.152,-1
16:12:48.353,1
16:12:48.554,1
16:12:48.755,1
16:12:48.956,-1
16:12:49.158,-1
16:12:49.359,-1
16:12:49.561,-1
16:12:49.762,-1
16:12:49.964,-1
16:12:50.166,-1
16:12:50.367,-1
16:12:50.568,-1
16:12:50.769,-1
16:12:50.970,-1
16:12:51.172,-1
16:12:51.374,-1
16:12:51.576,-1
16:12:51.777,-1
16:12:51.978,-1
16:12:52.179,-1
16:12:52.380,-1
16:12:52.581,-1
16:12:52.781,-1
16:12:52.982,-1
16:12:53.183,-1
16:12:53.384,-1
16:12:53.586,-1
16:12:53.787,-1
16:12:53.988,-1
16:12:54.189,-1
16:12:54.393,-1
16:12:54.595,-1
16:12:54.796,-1
16:12:54.997,-1
16:12:55.199,-1
16:12:55.402,-1
16:12:55.604,-1
16:12:55.805,-1
16:12:56.006,-1
16:12:56.207,-1
16:12:56.408,-1
16:12:56.609,-1
16:12:56.811,-1
16:12:57.012,-1
16:12:57.213,-1
16:12:57.414,-1
16:12:57.615,-1
16:12:57.816,-1
16:12:58.017,-1
16:12:58.218,-1
16:12:58.419,-1
16:12:58.619,-1
16:12:58.821,-1
16:12:59.023,-1
16:12:59.224,-1
16:12:59.426,-1
16:12:59.630,-1
16:12:59.832,-1
16:13:00.034,-1
16:13:00.235,1
