time_stamp,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
11:34:17,612184.0,-35.363435880000004,149.16553128,28217.8,-81.2,26.8,339.0,0.023738257959485053,0.00044560913229361174,2.281277227401733,1.4671425104141236,0.0132185619790107,0.0009248702321201563,-5.6,64.4,-937.0,1474.0,15.4,-0.4,LOITER
11:34:19,606874.0,-35.3634498,149.16551818,22907.0,-15.2,75.4,223.0,-0.07983411774039269,-0.1291668951511383,2.3021451473236083,-0.16642835438251496,-0.051392103731632235,-0.006621239613741637,-40.6,-54.4,-1109.2,-172.2,-49.4,-7.8,LOITER
11:34:21,603448.3333333334,-35.363451116666674,149.16553393333334,19482.666666666668,18.333333333333332,120.0,162.83333333333334,0.018315887621914346,-0.003010743918518225,2.2966643571853638,0.6240191161632538,0.03013264775897066,0.0025975642104943595,-52.666666666666664,-6.166666666666667,-1021.1666666666666,620.6666666666666,32.0,1.6666666666666667,LAND
11:34:23,601485.0,-35.363445600000006,149.1655876,17518.666666666668,67.0,160.66666666666666,69.16666666666667,0.042268593283552036,0.027751431703412283,2.2972511450449624,1.0036957959334056,0.12152271252125502,-0.0015902829084855814,-33.666666666666664,21.0,-1044.3333333333333,1004.8333333333334,124.16666666666667,-2.5,AUTO
11:34:25,601188.3333333334,-35.36344648333333,149.16560891666666,17222.0,19.0,89.66666666666667,-4.166666666666667,-0.0738494973629713,-0.06805285966644685,2.356739083925883,-0.16202181267241636,-0.007800346861282985,0.18144929284850755,-17.833333333333332,-17.333333333333332,-1048.8333333333333,-161.0,-4.5,181.33333333333334,AUTO
11:34:26,602068.0,-35.36345224,149.1656322,18101.2,-72.8,118.8,-107.4,0.1606532648205757,-0.11462232023477555,2.476001167297363,0.06561590526252985,-0.013385223224759102,-0.03170054934453219,-34.2,-13.2,-1059.4,65.8,-9.8,-31.0,AUTO
11:34:28,603788.0,-35.36348478,149.16564882,19820.2,-188.6,124.0,-130.4,-0.09286822378635406,-0.022711325623095035,2.521904230117798,-0.11012231158092618,0.061223195493221284,0.1085798516869545,-38.4,-33.4,-1025.2,-110.0,65.2,109.8,AUTO
11:34:30,605937.5,-35.363501675,149.16568895,21973.75,-80.0,199.75,-120.75,0.07832169765606523,-0.0746290422976017,2.3876761198043823,0.16172239743173122,-0.05077085876837373,-0.23345640301704407,-39.0,13.0,-1016.75,161.0,-46.5,-231.25,AUTO
11:34:31,606820.0,-35.363510500000004,149.16570639999998,22852.5,-174.0,163.0,-118.5,0.18415135890245438,-0.060855450108647346,2.237215042114258,0.07994250766932964,-0.0030531566590070724,-0.17930082231760025,-35.5,-8.0,-1004.0,79.5,1.5,-177.0,AUTO
11:34:32,608532.5,-35.363528849999994,149.165726325,24567.5,-299.0,90.0,-95.75,0.1817941665649414,-0.05847756937146187,2.1443240642547607,-0.05776050128042698,-0.034580322564579546,-0.0021696696057915688,-12.75,-46.0,-989.25,-56.75,-30.0,-1.25,AUTO
11:34:33,609625.0,-35.363542800000005,149.16573365,25662.0,-336.0,85.0,-96.5,0.11426487565040588,-0.09273774549365044,2.1953914165496826,-0.07594390958547592,-0.04253670014441013,0.0670672170817852,-13.0,-53.5,-999.0,-74.5,-38.0,66.5,AUTO
11:34:34,611214.0,-35.36356592,149.16573816,27248.6,-363.8,228.0,-62.8,-0.007939114607870579,-0.22557258903980254,2.3106128215789794,-0.033431025594472884,0.06783630251884461,0.08245324045419693,-58.2,-72.0,-994.2,-32.2,71.2,82.4,AUTO
11:34:36,614065.0,-35.363617766666664,149.16579178333333,30100.0,-260.5,175.83333333333334,-167.16666666666666,0.11769294117887814,0.1253527943044901,2.2761119604110718,-0.015184362729390463,0.09397921835382779,-0.06917342357337475,-49.333333333333336,-64.83333333333333,-1041.6666666666667,-13.833333333333334,96.5,-68.0,LOITER
11:34:38,617251.6666666666,-35.36365195,149.16580238333333,33286.0,-110.0,-16.833333333333332,-73.33333333333333,-0.03472570640345415,0.05302942590788007,2.489650289217631,-0.07819811642790835,-0.05048062652349472,0.2870039800181985,2.0,-37.8,-864.6,-108.8,-87.0,352.6,LOITER
11:34:40,615460.0,-35.3636583,149.16580319999997,31493.8,120.8,21.0,206.4,-0.07195307165384293,0.14483502358198166,2.572056531906128,1.9099116802215577,-0.1026721253991127,0.030158438254147768,19.6,112.4,-1011.6,1912.4,-99.4,31.2,LAND
11:34:44,612141.6666666666,-35.363620350000005,149.1658109,28175.333333333332,181.5,13.166666666666666,57.833333333333336,-0.0018590578304914136,-0.000966020238896211,2.562249263127645,0.2463489368868371,-0.015269712700198093,0.0036235167838943503,29.833333333333332,53.666666666666664,-1078.8333333333333,251.16666666666666,-12.166666666666666,4.5,LAND
11:34:46,611756.6666666666,-35.363601216666666,149.16579511666666,27792.333333333332,92.66666666666667,-34.833333333333336,-14.666666666666666,0.0025577025444363244,-0.0020211604375314587,2.552940011024475,0.024732922514279682,0.0011741947770739596,-0.007683248006893943,20.833333333333332,15.0,-990.6666666666666,26.333333333333332,3.5,-6.666666666666667,LAND
11:34:48,611445.0,-35.363681783333334,149.16568543333332,27479.666666666668,32.5,-65.83333333333333,111.33333333333333,0.022228437165419262,0.0022486481078279517,2.54291033744812,1.1729445854822795,0.001047792184787492,-0.002569083279619614,9.0,42.5,-910.6666666666666,1169.8333333333333,3.8333333333333335,-2.3333333333333335,LAND
11:34:50,608128.3333333334,-35.36367908333333,149.165668,24162.5,-5.5,-113.33333333333333,165.16666666666666,0.001818959756443898,0.0018212620246534545,2.534044106801351,-1.3328142762184143,-0.005099140534487863,-0.0053630721134444075,-0.16666666666666666,-53.666666666666664,-993.1666666666666,-1336.6666666666667,-2.1666666666666665,-5.0,LAND
11:34:52,604698.3333333334,-35.36366625,149.1656700833333,20733.5,34.166666666666664,-56.0,187.16666666666666,0.015217596373986453,0.0005957205091059828,2.5263537565867105,0.835592000434796,0.0064970531190435095,0.01529650716111064,-3.8333333333333335,64.83333333333333,-977.6666666666666,840.3333333333334,9.0,16.0,LOITER
11:34:54,601208.3333333334,-35.363655816666665,149.16567705000003,17240.166666666668,-18.666666666666668,-48.333333333333336,191.0,0.11192351207137108,-0.020263484834382933,2.5214073260625205,0.737174928188324,0.039840490402032934,-0.0009413663841163119,2.0,-17.166666666666668,-1008.5,733.8333333333334,42.666666666666664,-0.5,LOITER
11:34:56,597895.0,-35.36366485,149.16567445,13929.666666666666,37.0,-71.0,188.66666666666666,-0.02758423921962579,0.075968522268037,2.5192067623138428,-0.7440474120279154,-0.17044560859600702,-0.01786448232208689,23.5,-43.333333333333336,-983.6666666666666,-745.1666666666666,-166.5,-17.0,LOITER
11:34:58,594671.6666666666,-35.36365085,149.1656825,10707.0,5.333333333333333,2.3333333333333335,170.66666666666666,0.08039720356464386,-0.029221986110011738,2.466193954149882,-0.8529330020149549,-0.02944362481745581,-0.03504279706006249,-2.3333333333333335,-47.333333333333336,-1002.0,-851.1666666666666,-26.333333333333332,-34.333333333333336,AUTO
11:35:00,592651.6666666666,-35.36364553333333,149.16571848333334,8684.833333333334,-123.33333333333333,-307.3333333333333,2.5,0.07855634220565359,0.15528184842939177,2.5622047980626426,-0.25586525599161786,-0.34867559870084125,-0.38826457659403485,68.5,-22.333333333333332,-1127.1666666666667,-252.5,-345.0,-386.8333333333333,AUTO
11:35:02,593630.0,-35.36364378333333,149.16567803333334,9664.333333333334,-103.5,112.16666666666667,-64.66666666666667,-0.03392132588972648,-0.2715746487180392,2.0456499656041465,-0.006941509122649829,0.221319446961085,0.11656508408486843,-50.0,-30.666666666666668,-1084.0,-3.6666666666666665,224.5,117.16666666666667,LOITER
11:35:04,594608.3333333334,-35.36365745,149.16575443333332,10644.166666666666,-148.5,176.5,-39.333333333333336,0.3489973296721776,0.16047104261815548,2.101045807202657,0.1553393267095089,0.280679648121198,0.07222103521538277,-47.833333333333336,-52.166666666666664,-911.1666666666666,159.33333333333334,284.0,73.33333333333333,LOITER
11:35:06,591805.0,-35.363674333333336,149.16578175,7838.666666666667,-143.16666666666666,-248.66666666666666,169.66666666666666,0.06619862257502973,0.23394939551750818,2.1913301150004068,0.5902560998996099,-0.15263093115451434,0.12528378268082938,81.16666666666667,-10.166666666666666,-1092.1666666666667,599.0,-148.33333333333334,126.33333333333333,LAND
11:35:08,590705.0,-35.363701416666665,149.16570841666666,6740.166666666667,-75.5,-240.66666666666666,21.166666666666668,-0.005657912227131116,0.00863311844295822,2.189785440762838,-0.15072105173021555,-0.020734727188634377,-0.0005296839711566766,70.83333333333333,-64.5,-1022.6666666666666,-148.0,-16.666666666666668,0.5,AUTO
11:35:10,590858.3333333334,-35.3637201,149.1656768833333,6894.333333333333,45.666666666666664,-7.5,0.0,-0.12001058521370093,0.0006976834459540745,2.1925936539967856,0.08805572551985581,-0.0027961149656524262,-0.017743235764404137,21.833333333333332,-16.166666666666668,-1025.5,91.83333333333333,1.6666666666666667,-17.0,AUTO
11:35:12,591563.3333333334,-35.36371988333334,149.16568,7597.333333333333,101.83333333333333,90.83333333333333,-71.5,0.09303057317932446,-0.03330344675729672,2.1825092236200967,0.07522672787308693,0.01946842794617017,-0.003166687529301271,-4.5,10.833333333333334,-1042.6666666666667,75.83333333333333,23.666666666666668,-3.0,AUTO
11:35:14,592930.0,-35.3637185,149.1657051,8964.5,34.333333333333336,67.83333333333333,-114.16666666666667,0.045660493740191065,0.1502428463039299,1.8776891628901164,0.11130842007696629,0.14958758745342493,-0.2547213000555833,-2.6666666666666665,11.166666666666666,-1031.6666666666667,111.33333333333333,154.5,-254.0,LOITER
11:35:16,594460.0,-35.36371655,149.16569325,10494.5,-15.5,-171.5,-82.0,-0.004517544060945511,0.01854308694601059,1.8140934705734253,-0.37253253161907196,-0.5988786518573761,0.07850228762254119,55.0,16.5,-930.0,-372.0,-594.0,77.5,LOITER
11:35:17,594925.0,-35.363714,149.16567035000003,10957.25,5.75,-91.75,60.75,-0.11569920182228088,-0.2566735967993736,1.8410733342170715,-0.7957105152308941,-0.08031747059430927,-0.004449790343642235,14.0,-8.5,-775.5,-795.5,-76.25,-4.5,LOITER
11:35:19,592090.0,-35.36376558333333,149.1655192,8124.5,-19.5,98.83333333333333,194.66666666666666,0.03713736442538599,-0.04625139587248365,1.8358384172121684,0.03401818498969078,0.11361234697202842,0.004010417809089025,-29.0,-11.166666666666666,-1017.8333333333334,33.0,117.0,2.5,LOITER
