,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:24:08.322,300000.0,0.25,0.1,1000.0,30.0,0.3,17900.0,1000.0,25773.0,3000.0,0.0,750.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:12.340,101217.0,0.25,0.1,1000.0,30.0,0.0,13700.0,1000.0,16478.0,2700.0,0.0,1350.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:16.373,298665.0,0.25,0.1,1000.0,30.0,5.1,10700.0,1000.0,13359.0,3000.0,0.0,1800.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:20.405,244263.0,0.25,0.1,1000.0,30.0,5.1,3400.0,1000.0,32000.0,880.0,0.0,200.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:24.429,123584.0,0.25,0.1,1000.0,30.0,1.1,4100.0,1000.0,11647.0,860.0,0.0,450.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:28.465,280778.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,32000.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:32.512,295503.0,0.25,0.1,1000.0,30.0,0.0,12500.0,1000.0,7028.0,1560.0,0.0,1850.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:36.042,192996.0,0.25,0.1,1000.0,30.0,0.0,10300.0,1000.0,32000.0,1490.0,0.0,2000.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:40.067,170985.0,0.25,0.1,1000.0,30.0,3.9,16800.0,1000.0,14232.0,1570.0,0.0,600.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:44.087,200.0,0.25,0.1,1000.0,30.0,3.3,500.0,1000.0,11599.0,2100.0,0.0,1850.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:48.119,300000.0,0.25,0.1,1000.0,30.0,2.9,5300.0,1000.0,28389.0,1160.0,0.0,1700.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:52.155,101922.0,0.25,0.1,1000.0,30.0,2.8,2900.0,1000.0,32000.0,370.0,0.0,1050.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:56.174,63604.0,0.25,0.1,1000.0,30.0,2.1,10600.0,1000.0,22886.0,1500.0,0.0,1100.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:00.203,214845.0,0.25,0.1,1000.0,30.0,2.7,15200.0,1000.0,21830.0,0.0,0.0,200.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:04.240,300000.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,0.0,1850.0,0.0,2000.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:08.268,145637.0,0.25,0.1,1000.0,30.0,4.2,500.0,1000.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:12.314,234432.0,0.25,0.1,1000.0,30.0,4.6,17200.0,1000.0,20671.0,3000.0,0.0,1450.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:16.342,245129.0,0.25,0.1,1000.0,30.0,4.5,9700.0,1000.0,14938.0,1930.0,0.0,150.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:20.363,114340.0,0.25,0.1,1000.0,30.0,3.5,13900.0,1000.0,22869.0,2550.0,0.0,550.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
