time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
01:56:56,RTL,1.25,-22.5,-1008.0,-1030.5,1.25,0.25,193851.0,-35.363262375,149.165237725,151293.5,0.5,6.5,100.75,-0.02738484786823392,0.00020101737118238816,0.1024603396654129,-1.0355773866176605,0.0003408537886571139,-0.0022327012266032398
01:56:57,RTL,1.5,17.5,-1023.0,-228.0,4.5,1.5,193851.0,-35.36326245,149.1652382,150535.5,2.0,1.5,100.0,-0.019876332953572273,0.0006612088764086366,0.1028849296271801,-0.23355644196271896,0.004027803079225123,-0.0010949958814308047
01:56:59,RTL,1.0,8.0,-1011.5,962.5,-5.5,1.5,245998.0,-35.3632626,149.1652403,148491.0,3.0,-16.0,104.5,-0.0009142994240392,0.0003509437738102861,0.10187645629048347,0.9610702395439148,-0.0066799502819776535,-0.0008384315297007561
01:57:01,RTL,1.0,-57.0,-999.5,-416.0,-2.5,-4.0,245998.0,-35.3632627,149.16524105000002,146442.0,4.0,-26.0,101.5,-0.015230385586619377,-0.0005746067181462422,0.10236170887947083,-0.4170992374420166,-0.003944707161281258,-0.006713094422593713
01:57:02,RTL,-1.5,-67.25,-1001.5,-1038.25,0.25,1.25,269347.0,-35.3632627,149.16524065,145155.75,4.0,-28.0,102.0,-0.019782615825533867,-0.003225464723072946,0.10209356993436813,-1.0393329709768295,-0.0005025065911468118,-0.001253345049917698
01:57:03,RTL,-0.5,-64.5,-1017.0,-1286.5,2.0,-0.5,269347.0,-35.3632627,149.16523985,144383.5,4.0,-25.5,97.0,-0.017087949439883232,-0.004249111050739884,0.10125208646059036,-1.2881425023078918,0.0008609924698248506,-0.003355584223754704
01:57:05,RTL,0.0,-49.5,-989.0,-1373.0,0.5,5.0,246011.0,-35.3632626,149.16523834999998,142346.5,4.0,-9.0,99.0,-0.023500229232013226,-0.0010860607726499438,0.1014600582420826,-1.3757461905479431,-0.0003914875560440123,0.0024095624685287476
01:57:07,RTL,0.0,9.5,-1006.0,-649.5,0.0,7.5,246011.0,-35.3632626,149.16523825000002,140309.5,4.0,-5.0,100.5,-0.024494479410350323,-0.0004366559151094407,0.10303477942943573,-0.6531958878040314,-0.0006918427243363112,0.004806941840797663
01:57:08,RTL,0.25,67.75,-993.5,863.75,2.25,5.0,36697.0,-35.3632626,149.165238575,139041.5,3.25,-6.0,100.5,-0.00799895083764568,-0.0004983715880371165,0.10220262035727501,0.8607139885425568,0.001385662704706192,0.0025688965106382966
01:57:09,RTL,0.0,64.5,-985.0,1303.5,4.5,8.0,36697.0,-35.3632626,149.1652388,138277.5,3.0,-8.0,101.5,-0.0005035549402236938,-0.0006119148747529835,0.10249432548880577,1.3015905022621155,0.0034197658533230424,0.006285285926423967
01:57:11,RTL,0.0,-45.5,-979.5,-105.0,2.5,0.0,246531.0,-35.3632626,149.16523934999998,136244.5,3.0,-14.5,101.5,-0.002141855014997418,2.68787844106555e-05,0.10247861221432686,-0.10432574898004532,0.002454823232255876,-0.0021291906596161425
01:57:13,RTL,0.5,-47.0,-1016.5,-1320.5,3.0,-0.5,246531.0,-35.3632626,149.16524099999998,134209.5,4.0,-23.0,101.0,-0.04856451041996479,0.0034401488956063986,0.10191822424530983,-1.3218368291854858,0.002851340686902404,-0.0025588013231754303
01:57:14,RTL,-0.25,-14.75,-1004.75,-920.25,1.75,-0.5,35655.0,-35.3632626,149.165242175,132943.0,3.0,-33.5,102.25,-0.052296314388513565,0.00136045970430132,0.1020627710968256,-0.9223117828369141,0.0016374374681618065,-0.0026040044031105936
01:57:15,RTL,-2.5,48.0,-971.0,161.0,3.5,5.0,35655.0,-35.3632626,149.165242,132169.0,2.5,-35.5,103.0,-0.03726290352642536,-0.0002483827993273735,0.10133203119039536,0.1590790906921029,0.002737133181653917,0.0024944283068180084
01:57:17,RTL,-2.0,55.0,-1020.5,739.5,0.0,0.0,65978.0,-35.3632626,149.1652393,130119.5,2.5,-24.5,100.0,-0.0019813370890915394,-0.004414526745676994,0.10187733918428421,0.7376315295696259,-0.0010311695514246821,-0.0022909300168976188
01:57:19,RTL,-0.5,75.0,-1010.0,1173.5,4.0,7.0,65978.0,-35.3632624,149.16523795,128073.0,2.0,-3.0,100.5,-0.0005154989194124937,0.00025287062453571707,0.1021801270544529,1.1732855439186096,0.003156797494739294,0.005160130327567458
01:57:20,RTL,-1.0,18.0,-1009.75,1009.25,-1.25,2.5,88027.0,-35.3632623,149.165237675,126801.5,0.75,-4.25,101.75,0.01865533459931612,-0.0012094302655896172,0.10204633884131908,1.0107957124710083,-0.002385992498602718,0.00028576102340593934
01:57:21,RTL,-0.5,-15.5,-969.0,498.5,-2.5,4.0,88027.0,-35.363262250000005,149.16523705,126031.0,0.0,-2.0,102.0,0.026870054192841053,-0.0015065589104779065,0.10258448868989944,0.5013418197631836,-0.003518729587085545,0.0018697632476687431
01:57:23,RTL,0.5,-33.0,-1038.0,-1233.5,6.5,0.5,107397.0,-35.3632622,149.16523654999997,123985.5,0.0,8.0,101.0,-0.014451751485466957,0.00040574424565420486,0.10168146342039108,-1.2341347336769104,0.006481780204921961,-0.0023676538839936256
