,A.LOITER1
11:42:39.562,-1.0
11:42:39.765,-1.0
11:42:39.967,-1.0
11:42:40.170,-1.0
11:42:40.374,-1.0
11:42:40.583,-1.0
11:42:40.787,-1.0
11:42:40.992,-1.0
11:42:41.197,-1.0
11:42:41.401,-1.0
11:42:41.605,-1.0
11:42:41.809,-1.0
11:42:42.014,-1.0
11:42:42.219,-1.0
