time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
04:50:15,130364.0,0.0,8.0,-963.5,236.5,5.5,5.5,-35.36283345,149.1661193,67675.0,-12.0,5.5,-5.0,RTL,0.012240932323038578,0.008222668897360563,1.0353404879570007,0.23330453038215637,0.0012360524851828814,0.002663951017893851
04:50:16,161909.0,0.5,-1.75,-1008.25,187.5,4.5,3.75,-35.362833575,149.1661194,67661.5,-11.25,5.25,3.0,RTL,0.01239581243135035,0.008445183280855417,1.035330593585968,0.18413604609668255,0.00039469811599701643,0.0006608894327655435
04:50:17,161909.0,1.0,-16.0,-1031.5,-372.0,3.5,1.5,-35.362833800000004,149.1661196,67732.0,-10.0,4.5,-20.5,RTL,0.00042167119681835175,0.008879396598786116,1.0351485013961792,-0.3764054775238037,-0.0006160957273095846,-0.002049433416686952
04:50:19,161909.0,0.0,6.5,-968.5,-43.0,3.0,6.0,-35.362834649999996,149.16612025,68617.5,-3.0,0.5,-41.5,RTL,-0.008446635561995208,0.009342919569462538,1.0345835089683533,-0.04793184995651245,-0.0006655770121142268,0.003193881595507264
04:50:20,267402.0,0.0,-2.75,-973.25,61.5,4.5,3.25,-35.362835024999995,149.166120475,68878.75,0.75,-2.0,-7.0,RTL,-0.0031804172904230654,0.008612886304035783,1.0354674756526947,0.05774092674255371,0.00031571980798617005,0.0003719822852872312
04:50:21,267402.0,0.0,-3.0,-988.0,-64.0,-0.5,4.0,-35.362835000000004,149.1661204,68877.0,2.0,-3.0,2.5,RTL,-0.0010165697894990444,0.007011471316218376,1.0346441268920898,-0.06873205816373229,-0.0051614041440188885,0.0011227044160477817
04:50:23,267402.0,-0.5,-14.0,-1015.0,-151.5,3.0,2.0,-35.3628342,149.16611985,69271.0,-2.5,0.5,-48.5,RTL,0.00874302489683032,0.007723144255578518,1.0347132086753845,-0.15596403111703694,-0.0010131355375051498,-0.0011148928897455335
04:50:24,206466.0,0.0,-2.75,-973.5,-28.0,5.5,3.0,-35.362834025,149.1661198,69791.5,-5.0,1.0,-45.5,RTL,0.005988480872474611,0.008905720198526978,1.0348760187625885,-0.032363444566726685,0.001457585662137717,0.00010107597336173058
04:50:25,206466.0,0.0,2.5,-969.5,44.0,2.0,4.0,-35.3628342,149.16611995,70069.5,-4.5,1.0,-11.0,RTL,0.001627995865419507,0.009025637060403824,1.035280168056488,0.03924590349197388,-0.0024674556916579604,0.0008179935393854976
04:50:27,206466.0,0.5,18.0,-1028.5,245.0,6.0,6.5,-35.36283455,149.1661202,70121.5,-1.5,-1.0,-13.5,RTL,0.0016124029643833637,0.008108485490083694,1.0350110530853271,0.240249864757061,0.0019287012983113527,0.0032360192853957415
04:50:28,300000.0,0.0,4.75,-1030.0,80.0,7.25,3.75,-35.3628346,149.1661202,70422.5,-0.25,-1.0,-47.75,RTL,0.0007942046213429421,0.00849807565100491,1.0348630547523499,0.07615823193918914,0.002946161082945764,0.0004279653658159077
04:50:29,300000.0,0.0,-6.5,-975.0,48.0,1.0,3.0,-35.3628346,149.1661202,70977.5,0.0,-2.0,-46.5,RTL,0.004213071952108294,0.008749216794967651,1.0345328450202942,0.044008441269397736,-0.00298749259673059,-0.0001718637067824602
04:50:31,300000.0,0.5,-0.5,-974.0,-250.5,5.0,4.5,-35.3628344,149.1661201,71360.0,-1.5,0.0,3.5,RTL,-0.0036541703157126904,0.008642570581287146,1.0351370573043823,-0.25497550517320633,0.0008856509812176228,0.001291654072701931
04:50:32,15603.0,0.5,-1.75,-1029.5,-7.5,3.5,4.5,-35.36283449999999,149.166120125,71350.25,-1.25,-0.25,-6.5,RTL,-0.0004336242564022541,0.008241779054515064,1.0348931849002838,-0.011961311101913452,-0.0009296461939811707,0.001171784067992121
04:50:33,15603.0,0.0,18.5,-1030.0,329.5,7.5,4.5,-35.36283485,149.1661203,71624.0,0.0,-1.0,-41.5,RTL,-0.0018309403967577964,0.008506359066814184,1.0348119139671326,0.32521213591098785,0.0029641520231962204,0.0009459431748837233
04:50:35,15603.0,-0.5,-1.5,-969.0,-365.5,1.5,6.0,-35.3628352,149.1661206,72522.5,5.0,-4.0,-20.0,RTL,-0.009118017042055726,0.00832287734374404,1.0350324511528015,-0.37050552666187286,-0.0027921723667532206,0.002735294634476304
