,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:27:17.310,163792.0,0.7,0.6,-1.6,0.25,4.6,0.0,11781.0,680.0,1.0,0.1,50.0,50.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:21.343,96065.0,1.1,0.7,-0.8,0.25,4.1,0.0,9279.0,810.0,1.0,0.1,50.0,50.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:25.373,240400.0,1.1,0.1,-4.5,0.25,2.4,0.0,14130.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:29.390,38675.0,0.3,0.5,-9.9,0.25,5.1,0.0,0.0,60.0,1.0,0.1,50.0,50.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:33.423,99731.0,0.2,0.0,3.5,0.25,3.2,0.0,32000.0,510.0,1.0,0.1,50.0,50.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:37.438,25035.0,0.6,1.2,-1.1,0.25,0.0,0.0,14247.0,0.0,1.0,0.1,50.0,50.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:41.462,112979.0,0.0,1.1,-10.0,0.25,5.1,0.0,0.0,550.0,1.0,0.1,50.0,50.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:45.493,300000.0,0.7,1.1,-0.8,0.25,0.0,0.0,28350.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:49.030,44473.0,0.2,1.3,-7.3,0.25,5.1,0.0,12986.0,470.0,1.0,0.1,50.0,50.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:53.044,200.0,0.2,0.7,5.3,0.25,1.6,0.0,0.0,780.0,1.0,0.1,50.0,50.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:57.071,253577.0,1.1,1.6,10.1,0.25,5.1,0.0,0.0,880.0,1.0,0.1,50.0,50.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:01.093,138864.0,0.7,1.0,-0.8,0.25,1.2,0.0,21250.0,320.0,1.0,0.1,50.0,50.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:05.126,140532.0,0.6,1.0,-10.0,0.25,0.0,0.0,4009.0,0.0,1.0,0.1,50.0,50.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:09.161,260193.0,0.0,0.3,-4.0,0.25,0.0,0.0,0.0,710.0,1.0,0.1,50.0,50.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:13.181,124489.0,0.1,1.0,1.6,0.25,4.3,0.0,14638.0,440.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:17.214,192510.0,1.1,1.9,-2.6,0.25,0.0,0.0,21993.0,1000.0,1.0,0.1,50.0,50.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:21.247,200.0,0.6,0.2,10.1,0.25,3.2,0.0,15633.0,1000.0,1.0,0.1,50.0,50.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:25.274,230513.0,0.7,2.0,8.8,0.25,2.7,0.0,28448.0,1000.0,1.0,0.1,50.0,50.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:29.290,54367.0,0.7,1.0,-7.5,0.25,3.1,0.0,0.0,760.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:33.350,185888.0,0.3,0.1,10.1,0.25,0.9,0.0,20620.0,330.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
