time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:06:27,77.66666666666667,51.666666666666664,-991.8333333333334,-115.5,132.5,15.0,1500.0,RTL,-0.03757532965391874,0.10478444393568982,-0.7784415284792582,-0.1190991426507632,0.13206222436080375,0.013474377182622751,-35.363078933333334,149.1650011,49993.833333333336,-273.0,292.3333333333333,12.333333333333334
20:06:29,85.0,44.833333333333336,-976.3333333333334,-186.66666666666666,118.16666666666667,10.166666666666666,1500.0,RTL,-0.06331296761830647,0.09677793264078598,-0.777960330247879,-0.18939230094353357,0.11746310442686081,0.00839357078075409,-35.36313048333333,149.1650694,49979.833333333336,-289.8333333333333,309.3333333333333,-1.1666666666666667
20:06:31,93.5,50.833333333333336,-992.1666666666666,-134.0,-54.333333333333336,-4.333333333333333,1500.0,RTL,-0.06783911337455113,0.06174924333269397,-0.777781069278717,-0.13628072291612625,-0.05556340298304955,-0.005914791176716487,-35.36318738333333,149.16514353333335,50005.333333333336,-327.8333333333333,335.8333333333333,-6.333333333333333
20:06:33,46.333333333333336,14.0,-994.1666666666666,17.166666666666668,58.0,-23.333333333333332,1500.0,RTL,-0.03825624628613392,-0.09377279691398144,-0.7686326404412588,0.017969826857248943,0.05740130708242456,-0.02489531455406298,-35.36323516666667,149.16520343333335,50069.833333333336,-177.5,165.16666666666666,5.833333333333333
20:06:35,27.833333333333332,11.833333333333334,-1005.3333333333334,5.166666666666667,-55.666666666666664,1.1666666666666667,1500.0,RTL,-0.011751745762012433,-0.011120662248382965,-0.7714204291502634,0.003442986596686145,-0.05683952212954561,9.252482171480854e-05,-35.36325698333332,149.16522871666666,49978.666666666664,-90.16666666666667,91.66666666666667,0.3333333333333333
20:06:37,3.3333333333333335,-1.8333333333333333,-1004.5,-37.0,35.833333333333336,-1.6666666666666667,1500.0,RTL,-0.015762391034513712,-0.03356978762894869,-0.7725580434004465,-0.039261420567830406,0.0354829216375947,-0.0030358517542481422,-35.36326463333334,149.1652408333333,49998.666666666664,-12.666666666666666,3.5,0.3333333333333333
20:06:39,0.2,9.0,-999.6,165.0,-13.6,3.4,1500.0,RTL,-0.004717381158843637,0.002955828816629946,-0.7747106552124023,0.16150732040405275,-0.014963234402239322,0.002610415196977556,-35.36326418,149.16524104,50001.8,-5.4,-9.0,0.6
20:06:45,-1.0,6.666666666666667,-1004.3333333333334,-135.0,4.333333333333333,7.333333333333333,1500.0,RTL,-0.013660973869264126,-0.0014509828761219978,-0.775215208530426,-0.1397858907779058,0.004076049003439645,0.0061044772155582905,-35.363263100000005,149.1652405,50006.333333333336,-1.3333333333333333,-15.666666666666666,0.6666666666666666
20:06:47,-0.5,5.75,-997.75,183.75,-0.75,6.0,1500.0,RTL,-0.0103084120588998,0.003394274739548564,-0.775410532951355,0.2401933173338572,-0.002247180324047804,0.004138995660468936,-35.363261533333336,149.16524,50007.666666666664,-8.0,-16.333333333333332,1.0
20:06:49,-3.5,-38.0,-934.3333333333334,-94.0,-1.3333333333333333,7.166666666666667,1500.0,RTL,0.013814739836379885,-0.003218020498752594,-0.7754290223121643,-0.0778202086687088,-0.0024271767819300295,0.00476356539875269,-35.363262039999995,149.1652388,49341.0,-10.4,-13.2,88.8
